YEAR,MONTH,DAY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,FATALITIES,INJURED / INFECTED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,MAGNITUDE,PLACE
1989,Jul,19,natural,meteorological - hydrological,flood,0,0.0,138070000000,11075134,0.0,"harrow, kent, essex, leamington counties on"
2002,Jun,28,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,hawes/patuanak sk
1992,Apr,25,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,hay river nt
2008,May,5,natural,meteorological - hydrological,flood,0,0.0,4600000000,241893,0.0,hay river nt
1982,Jan,1,natural,meteorological - hydrological,flood,0,0.0,5728240000,626037,0.0,hay river nt
1963,May,3,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,"hay river township, south shore of great slave lake nt"
1974,May,2,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,"hay river township, south shore of great slave lake nt"
1985,May,3,natural,meteorological - hydrological,flood,0,1.0,,nan,0.0,"hay river township, south shore of great slave lake nt"
1995,Jan,21,technology,hazardous chemicals,derailment release,0,0.0,,nan,0.0,hervey junction qc
2008,May,24,natural,meteorological - hydrological,flood,0,0.0,00000,00,0.0,high river ab
1914,Jun,19,technology,explosion,non-residential,189,48.0,,nan,0.0,hillcrest ab
1986,Feb,8,technology,transportation accident,rail,23,71.0,,nan,0.0,hinton ab
1965,Jan,9,natural,geological,landslide,4,0.0,,nan,0.0,hope bc
1985,May,31,natural,meteorological - hydrological,air,12,500.0,839920000000,79992381,0.0,hopeville to barrie on
1997,Jul,11,natural,geological,landslide,0,SIN,,nan,0.0,hummingbird creek bc
2008,May,31,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,huntingdon qc
1967,Apr,17,natural,meteorological - hydrological,air,0,0.0,,nan,0.0,huron and perth counties on
1986,Apr,1,natural,meteorological - hydrological,flood,0,0.0,28933890000,2646392,0.0,icelandic river and fisher river mb
1975,Jul,28,natural,meteorological - hydrological,storm,1,0.0,,nan,0.0,îles-de-la-madeleine qc
1982,Feb,22,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,îles-de-la-madeleine qc
1997,Jun,12,natural,meteorological - hydrological,fire,0,0.0,,nan,0.0,"iroquois falls, kirkland lake, timmins areas on"
1969,May,11,natural,meteorological - hydrological,flood,1,0.0,,nan,0.0,iroquois nb
2008,May,9,natural,meteorological - hydrological,flood,0,0.0,00000,00,0.0,james bay on
2011,Mar,11,natural,geological,earthquake,1,SIN,00000,00,9.0,japan
1991,Sep,26,technology,fire,residential,0,1.0,,nan,0.0,jarvis on
1990,Jun,12,natural,geological,landslide,7,0.0,182088470000,13935342,0.0,joe rich and southern british columbia
1999,Jan,1,natural,meteorological - hydrological,avalanche,9,25.0,64004000000,4133735,0.0,kangiqsualujjuaq qc
2005,Apr,23,natural,meteorological - hydrological,flood,0,SIN,00000,00,0.0,kashechewan on
2005,Oct,26,natural,biological,infestation/epidemic/pandemic,SIN,SIN,00000,00,0.0,kashechewan on
2006,Apr,23,natural,meteorological - hydrological,flood,0,0.0,00000,00,0.0,kashechewan on
2002,Jul,1,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,"kee-way-win fn; townships of terrace bay and schrieber; village of rossport; pays plat fn; deer lake fn, on"
2005,Aug,28,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,kelowna bc
2009,May,1,natural,meteorological - hydrological,fire,1,0.0,987435290000,51788564,0.0,"kelowna, kamloops and cariboo bc"
1999,Jun,18,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,kenora on
2003,Nov,28,natural,geological,landslide,0,0.0,00000,00,0.0,khyex river bc
1978,Nov,1,natural,meteorological - hydrological,flood,0,0.0,200873530000,32930087,0.0,"kicking horse pass, alberta - british columbia border"
2010,Sep,24,natural,meteorological - hydrological,flood,SIN,SIN,00000,00,SIN,kingcome inlet and bella coola bc
2004,Dec,27,natural,meteorological - hydrological,storm surge,0,SIN,25780390000,1477386,0.0,kings county pe
2008,Sep,15,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,kingston on
2002,Jun,21,technology,fire,non-residential,0,0.0,00000,00,0.0,kingsville on
1991,Aug,5,technology,hazardous chemicals,derailment release,4,0.0,,nan,0.0,kinsella ab
1993,Nov,26,technology,infrastructure failure,manufacturing / industry,2,0.0,,nan,0.0,kirkland lake on
2012,May,20,natural,meteorological - hydrological,fire,0,0.0,00000,00,SIN,kirkland lake on
2007,Aug,1,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,kootenay bc
1972,Jan,1,conflict,fire,non-residential,0,0.0,,nan,0.0,kootenay region and vancouver area bc
1960,Jul,2,conflict,fire,non-residential,1,0.0,,nan,0.0,kootenay region bc
1990,Mar,19,technology,hazardous chemicals,marine release,2,12.0,,nan,0.0,la baie qc
1999,Apr,1,natural,meteorological - hydrological,fire,0,0.0,,nan,0.0,la ronge sk
2008,Jul,22,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,la tuque qc
1914,Apr,1,natural,meteorological - hydrological,storm,77,0.0,,nan,0.0,labrador
1982,Jan,19,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,labrador city nl
2013,Jul,6,technology,transportation accident,rail,SIN,SIN,,nan,SIN,lac-mégantic qc
1985,Mar,31,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,lake erie on
1985,Dec,2,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,lake huron and lake erie on
1966,Jan,1,technology,transportation accident,marine,28,0.0,,nan,0.0,lake huron on
1973,Mar,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,lake huron on
1955,Jul,11,natural,meteorological - hydrological,avalanche,7,0.0,,nan,0.0,lake louise ab
1987,Apr,4,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,lake st. clair on
1953,Jan,1,natural,meteorological - hydrological,storm,17,0.0,,nan,0.0,lake superior on
1975,Nov,10,natural,meteorological - hydrological,storm,29,0.0,,nan,0.0,lake superior on
1913,Nov,7,natural,meteorological - hydrological,storm,270,0.0,,nan,0.0,"lakes huron, erie and ontario"
1968,Aug,19,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,lambeth on
2010,Dec,12,natural,meteorological - hydrological,storm,1,1.0,00000,00,0.0,lambton county on
1959,Jan,1,technology,fire,residential,0,0.0,,nan,0.0,lanark on
2008,Jun,29,natural,meteorological - hydrological,air,0,0.0,00000,00,0.0,lanaudière qc
1965,Mar,1,technology,explosion,residential,28,50.0,,nan,0.0,lasalle qc
1966,Jan,1,technology,fire,non-residential,11,0.0,,nan,0.0,lasalle qc
2010,Jun,6,natural,meteorological - hydrological,air,0,0.0,2238640000,115295,0.0,leamington on
1997,Oct,13,technology,transportation accident,vehicle,43,0.0,,nan,0.0,les éboulements qc
1996,Jun,17,natural,meteorological - hydrological,flood,0,0.0,181597970000,12256331,0.0,lesser slave lake area ab
1997,Jun,17,natural,meteorological - hydrological,flood,0,0.0,6643520000,440942,0.0,lesser slave lake area ab
1988,Jul,5,natural,meteorological - hydrological,flood,0,0.0,352966210000,29744344,0.0,lesser slave lake region ab
1992,Jan,1,natural,meteorological - hydrological,flood,0,0.0,2192770000,156626,0.0,lethbridge ab
1994,Oct,17,technology,hazardous chemicals,derailment release,0,0.0,,nan,0.0,lethbridge ab
2008,Jul,1,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,lethbridge ab
1979,Jan,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,lethbridge ab
1988,Jun,4,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,"lethbridge, taber, irma and wainwright ab"
1989,May,1,natural,meteorological - hydrological,flood,0,0.0,10947780000,878164,0.0,liard river nt
2011,Feb,15,conflict,civil incident,disturbance / demonstrations,SIN,SIN,00000,00,0.0,libya
1988,May,10,technology,hazardous chemicals,derailment release,0,0.0,,nan,0.0,linton qc
1999,Oct,1,natural,biological,infestation/epidemic/pandemic,0,0.0,,nan,0.0,little saskatchewan first nation reserve mb
1930,Jan,1,technology,fire,residential,0,0.0,,nan,0.0,liverpool ns
1982,Feb,1,technology,explosion,non-residential,2,0.0,,nan,0.0,lodgepole ab
1984,Sep,2,natural,meteorological - hydrological,air,0,30.0,,nan,0.0,london on
1992,May,25,technology,hazardous chemicals,derailment release,0,0.0,,nan,0.0,longlac on
2005,Sep,26,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,"lorette river, quebec city qc"
1936,Aug,15,technology,transportation accident,rail,22,22.0,,nan,0.0,louiseville qc
1988,Jun,20,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,"louiseville, yamachiche and st.-justin region of trois-rivières qc"
1984,Jan,4,natural,meteorological - hydrological,flood,0,0.0,40297900000,3989891,0.0,lower fraser river valley bc
2012,Jul,11,natural,meteorological - hydrological,fire,0,0.0,00000,00,SIN,mackenzie county ab
1990,Dec,16,natural,meteorological - hydrological,storm,8,2.0,3970700000,303880,0.0,madeleine islands qc
2003,Apr,1,natural,meteorological - hydrological,fire,0,SIN,52862530000,3085362,0.0,manitoba
2005,Jun,2,natural,meteorological - hydrological,flood,0,SIN,370327210000,20766012,0.0,manitoba
1935,Jan,1,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,manitoba
1983,Jul,1,natural,biological,infestation/epidemic/pandemic,0,0.0,44442750000,4589613,0.0,manitoba
1955,Jan,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,manitoba and saskatchewan
1933,Dec,1,natural,meteorological - hydrological,cold event,15,0.0,,nan,0.0,manitoba to atlantic canada
1974,Jan,1,natural,meteorological - hydrological,flood,0,0.0,217651360000,49843823,0.0,maniwaki qc
1971,May,14,natural,meteorological - hydrological,air,2,11.0,,nan,0.0,"maniwaki, déléage, egan, south region of outaouais qc"
2007,Mar,12,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,maple ridge bc
1991,Oct,25,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,maritime provinces
1992,Feb,1,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,maritime provinces
1999,Sep,23,natural,meteorological - hydrological,flood,0,0.0,49123050000,3172640,0.0,maritime provinces
2000,Jan,17,natural,meteorological - hydrological,storm,0,0.0,66214620000,4164442,0.0,maritime provinces
2000,Jan,21,natural,meteorological - hydrological,storm surge,0,0.0,2169780000,136464,0.0,maritime provinces
2008,Sep,28,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,maritime provinces
1959,Jun,20,natural,meteorological - hydrological,storm,33,0.0,00000,00,0.0,maritime provinces
1964,Dec,1,natural,meteorological - hydrological,storm,23,8.0,00000,00,0.0,maritime provinces
1968,Oct,21,natural,meteorological - hydrological,storm,1,0.0,00000,00,0.0,maritime provinces
2007,Dec,4,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,martime provinces
1991,Aug,27,natural,meteorological - hydrological,air,0,15.0,526037270000,38118643,0.0,maskinongé qc
2007,Dec,17,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,matane qc
1960,Sep,7,natural,geological,landslide,3,0.0,,nan,0.0,mcbride bc
2010,Aug,21,natural,meteorological - hydrological,flood,0,0.0,31350000000,1614592,0.0,meat cove ns
1982,Jan,1,technology,hazardous chemicals,derailment release,0,0.0,,nan,0.0,medonte on
1999,Apr,1,natural,meteorological - hydrological,flood,0,0.0,1091954490000,70524510,0.0,melita mb
1921,Jan,1,technology,fire,residential,SIN,SIN,,nan,0.0,merville and lang bc
2010,Jun,23,natural,meteorological - hydrological,air,0,20.0,170000000000,8755365,0.0,midland on
1978,Apr,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,milk river and area ab
1979,Jan,1,technology,explosion,non-residential,0,0.0,,nan,0.0,millwoods ab
2011,Jun,21,natural,meteorological - hydrological,fire,SIN,SIN,00000,00,SIN,mishkeegogamang ojibway first nation (new osnaburgh) on
1948,May,1,natural,meteorological - hydrological,fire,0,0.0,,nan,0.0,mississagi on
1979,Nov,10,technology,hazardous chemicals,derailment release,0,0.0,,nan,0.0,mississauga on
1980,Jul,14,technology,fire,residential,21,35.0,,nan,0.0,mississauga on
2006,Jun,16,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,mistissini qc
1976,Jul,12,natural,meteorological - hydrological,storm,0,0.0,80055000000,15444695,0.0,moncton nb
2008,Jun,10,natural,meteorological - hydrological,storm,0,0.0,1724900000000,90704645,0.0,montérégie and eastern townships qc
2011,Apr,17,natural,meteorological - hydrological,flood,0,0.0,816120000000,40840033,SIN,montérégie qc
1989,Jul,1,natural,meteorological - hydrological,air,0,0.0,,nan,0.0,montmartre sk
1982,Jun,14,natural,meteorological - hydrological,air,5,26.0,,nan,0.0,montreal (sainte-rose) qc
1994,Jan,5,natural,meteorological - hydrological,storm,6,0.0,,nan,0.0,montreal and area qc
1996,Nov,8,natural,meteorological - hydrological,flood,0,0.0,930893800000,62827478,0.0,montreal and mauricie region qc
1986,Oct,26,technology,fire,residential,0,0.0,,nan,0.0,montreal and westmount qc
2002,May,20,natural,meteorological - hydrological,fire,0,0.0,323320000,19399,0.0,montreal lake sk
1986,May,29,natural,meteorological - hydrological,storm,0,0.0,454730000000,41591159,0.0,montreal qc
1987,May,29,natural,meteorological - hydrological,storm,0,0.0,248910000000,21802336,0.0,montreal qc
1987,Jul,14,natural,meteorological - hydrological,flood,2,0.0,642166810000,56248188,0.0,montreal qc
1994,Oct,21,technology,explosion,non-residential,2,0.0,,nan,0.0,montreal qc
2002,Aug,12,technology,infrastructure failure,water,0,0.0,00000,00,0.0,montreal qc
1927,Jan,9,technology,fire,residential,76,0.0,,nan,0.0,montreal qc
1958,Nov,7,technology,fire,residential,18,0.0,,nan,0.0,montreal qc
1961,Feb,25,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,montreal qc
1969,Dec,28,natural,meteorological - hydrological,storm,15,0.0,,nan,0.0,montreal qc
1970,Oct,5,conflict,terrorist,kidnapping / murder,1,0.0,,nan,0.0,montreal qc
1971,Mar,4,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,montreal qc
1971,Apr,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,montreal qc
1972,Sep,1,conflict,fire,residential,37,50.0,,nan,0.0,montreal qc
1979,Jun,5,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,montreal qc
1984,Sep,3,conflict,terrorist,bomb attacks,3,45.0,,nan,0.0,montreal qc
1992,Feb,16,technology,fire,residential,0,0.0,,nan,0.0,montréal qc
1998,Jun,18,technology,transportation accident,air,12,0.0,,nan,0.0,montréal qc
2009,May,14,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,"montreal, alma, la tuque and baie-saint-paul qc"
1954,Apr,7,technology,transportation accident,air,37,0.0,,nan,0.0,moose jaw sk
1936,Apr,12,technology,infrastructure failure,manufacturing / industry,1,0.0,,nan,0.0,moose river ns
2001,Jul,31,natural,meteorological - hydrological,storm,0,0.0,8695960000,533494,0.0,"morley, chapple, dawson, emo, lake of the woods, la vallee, rainy river, fort frances on"
1956,Dec,9,technology,transportation accident,air,62,0.0,,nan,0.0,mounte slesse bc
2002,Jun,9,natural,meteorological - hydrological,flood,0,0.0,69758540000,4185512,0.0,"municipalities of ignace, fort frances, rainy river, alberton, atikokan, chapple, dawson, emo, la valle, lake of the woods, morley, machin; township of sioux-narrows - nestor falls, on"
2007,Jun,22,natural,meteorological - hydrological,storm,0,0.0,11831830000,636690,0.0,"municipalities of pipestone, sifton, cameron, white water, morton, riverside, turtle mountain, strathcona and argyle and the whiteshell provincial park mb"
1957,Mar,8,conflict,civil incident,disturbance / demonstrations,1,2.0,,nan,0.0,murdochville qc
1915,Jan,1,technology,explosion,non-residential,22,0.0,,nan,0.0,nanaimo bc
1992,Mar,26,technology,hazardous chemicals,vehicle,0,0.0,,nan,0.0,nanaimo bc
2007,Aug,4,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,natuashish nl
2002,Jul,3,natural,meteorological - hydrological,fire,0,0.0,4642860000,278572,0.0,near community of sheshatshui and town of north west river nl
1991,Oct,1,technology,transportation accident,air,18,0.0,,nan,0.0,near the north pole nu
1996,Nov,29,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,nechako river bc
2002,Jul,2,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,"nemiscau region, near james bay qc"
2008,Mar,21,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,new brunswick
1979,Apr,24,natural,meteorological - hydrological,flood,0,0.0,32276500000,4841475,0.0,new brunswick
1936,Mar,16,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,new brunswick
1954,Sep,11,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,new brunswick
1967,Jan,1,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,new brunswick
1976,Feb,2,natural,meteorological - hydrological,storm surge,0,0.0,80055000000,15444695,0.0,new brunswick
1979,Sep,6,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,new brunswick
1933,May,4,natural,meteorological - hydrological,flood,3,0.0,,nan,0.0,new brunswick and eastern quebec
2007,Nov,4,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,new brunswick and nova scotia
2010,Dec,13,natural,meteorological - hydrological,flood,0,0.0,50000000000,2575107,0.0,new brunswick and nova scotia
1976,Aug,10,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,new brunswick and quebec
1917,Jul,25,technology,explosion,non-residential,65,0.0,,nan,0.0,new waterford ns
2001,Sep,11,conflict,civil incident,air,24,SIN,00000,00,0.0,"new york city, ny, u.s.a."
2008,May,16,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,newbrook ab
1990,Dec,9,natural,meteorological - hydrological,flood,0,0.0,23277770000,1781462,0.0,newfoundland
2005,Mar,30,natural,meteorological - hydrological,storm,0,SIN,3882880000,217732,0.0,newfoundland
2007,Aug,1,natural,meteorological - hydrological,storm,0,0.0,70630000000,3800717,0.0,newfoundland
1927,Aug,24,natural,meteorological - hydrological,storm,56,0.0,,nan,0.0,newfoundland
1935,Aug,25,natural,meteorological - hydrological,storm,50,0.0,,nan,0.0,newfoundland
1969,May,19,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,newfoundland
1974,May,15,natural,meteorological - hydrological,storm,0,0.0,51517520000,11797905,0.0,newfoundland
1978,Jan,14,natural,meteorological - hydrological,flood,0,0.0,52357790000,8583244,0.0,newfoundland
2010,Sep,21,natural,meteorological - hydrological,storm,1,0.0,855076900000,44038295,0.0,newfoundland and labrador
1914,Jan,1,natural,meteorological - hydrological,storm,173,0.0,,nan,0.0,newfoundland coast
1942,Jan,1,natural,meteorological - hydrological,storm,203,0.0,,nan,0.0,"newfoundland, off coast"
1973,Jun,17,natural,meteorological - hydrological,storm,0,0.0,53300000000,13550847,0.0,"newfoundland, prince edward island and nova scotia"
1989,Jan,1,technology,hazardous chemicals,fire,0,0.0,,nan,0.0,niagara falls on
1977,Jan,28,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,niagara peninsula on
1955,Nov,12,natural,geological,landslide,3,6.0,,nan,0.0,nicolet qc
1991,May,1,technology,hazardous chemicals,fire,0,0.0,,nan,0.0,niverville mb
2006,Jul,4,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,nordegg ab
1988,Jun,29,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,norman wells nt
2003,Jul,21,natural,meteorological - hydrological,fire,0,SIN,1218460000,71116,0.0,norman wells nt
1985,Jun,23,conflict,terrorist,bomb attacks,329,0.0,,nan,0.0,north atlantic near west coast of ireland
2010,Jul,22,natural,meteorological - hydrological,storm,0,0.0,1120000000,57682,0.0,north battleford sk
1995,May,29,natural,meteorological - hydrological,fire,0,0.0,915857470000,62729964,0.0,north central saskatchewan
1915,Jan,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,north saskatchewan river ab and sk
1983,Mar,19,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,"north shore of st. lawrence river, and yamachiche maskinonge river basins qc"
2005,Jan,17,natural,geological,landslide,1,1.0,43376460000,2432325,0.0,north vancouver bc
1979,Feb,21,technology,hazardous chemicals,leak / spill release,0,0.0,,nan,0.0,north york on
1986,Jul,13,natural,meteorological - hydrological,flood,0,0.0,128439640000,11747528,0.0,north-central alberta
2001,Jul,1,natural,meteorological - hydrological,flood,0,0.0,93238870000,5720176,0.0,northeast and central british columbia
1965,Jul,8,technology,transportation accident,air,52,0.0,,nan,0.0,northeast of vancouver bc
1985,Jul,1,natural,meteorological - hydrological,fire,0,0.0,,nan,0.0,northeast of vancouver bc
1984,Jan,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,northeast saskatchewan
1915,Jul,8,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,northeastern new brunswick
1995,Apr,1,natural,meteorological - hydrological,flood,0,0.0,75723810000,5186562,0.0,northeastern saskatchewan
2002,May,17,natural,meteorological - hydrological,fire,0,0.0,13000000000,780000,0.0,northern alberta and conklin
1988,Jan,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,northern british columbia
1989,May,11,natural,meteorological - hydrological,fire,0,0.0,184898620000,14831440,0.0,northern manitoba
1998,Jul,4,natural,meteorological - hydrological,fire,0,0.0,,nan,0.0,northern ontario
2011,Jul,6,natural,meteorological - hydrological,fire,0,0.0,00000,00,SIN,northern ontario
2008,Jun,30,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,northern saskatchewan
2005,Jul,23,natural,meteorological - hydrological,storm,0,0.0,25978910000,1456761,0.0,northern saskatchewan
1936,Jul,13,natural,meteorological - hydrological,fire,SIN,SIN,,nan,0.0,northern saskatchewan
1990,Aug,1,natural,meteorological - hydrological,storm,6,0.0,44271670000,3388138,0.0,northumberland strait (ns and pe)
1997,Jun,10,natural,meteorological - hydrological,fire,0,0.0,,nan,0.0,northwest of matagami qc
2007,May,13,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,northwest ontario
1978,Jan,24,technology,space event,space debris,0,0.0,,nan,0.0,northwest territories
1917,Oct,28,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,northwestern british columbia
1991,Oct,8,natural,meteorological - hydrological,flood,SIN,SIN,,nan,0.0,northwestern british columbia
1978,Oct,29,natural,meteorological - hydrological,flood,2,0.0,82777550000,13570090,0.0,northwestern british columbia
1961,Oct,10,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,northwestern british columbia
2008,May,28,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,norway house and sherridon mb
1991,Apr,1,natural,geological,landslide,0,0.0,3047560000,220838,0.0,notre-dame de pierreville qc
1908,Apr,26,natural,geological,landslide,33,0.0,,nan,0.0,notre-dame-de-la-salette qc
2009,Jun,28,natural,meteorological - hydrological,flood,0,0.0,00000,00,0.0,notre-dame-des-prairies qc
2002,May,14,technology,fire,residential,0,0.0,00000,00,0.0,notre-dame-du-lac qc
1969,Dec,2,technology,fire,residential,38,30.0,,nan,0.0,notre-dame-du-lac qc
1905,Feb,15,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,nova scotia
1989,Sep,10,natural,meteorological - hydrological,storm,1,0.0,,nan,0.0,nova scotia
2004,Feb,18,natural,meteorological - hydrological,storm,0,0.0,36876900000,2113289,0.0,nova scotia
1935,Jan,10,natural,meteorological - hydrological,flood,SIN,SIN,,nan,0.0,nova scotia
1936,Sep,1,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,nova scotia
1939,Feb,2,technology,fire,residential,0,0.0,,nan,0.0,nova scotia
1950,Aug,1,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,nova scotia
1956,Jan,3,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,nova scotia
1962,Oct,7,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,nova scotia
1963,Jul,26,natural,meteorological - hydrological,head event/drought,5,0.0,,nan,0.0,nova scotia
1964,Sep,13,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,nova scotia
1967,Oct,11,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,nova scotia
1971,Feb,13,natural,meteorological - hydrological,flood,SIN,SIN,,nan,0.0,nova scotia
2010,Sep,4,natural,meteorological - hydrological,storm,1,SIN,00000,00,SIN,nova scotia
2009,Oct,25,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,nova scotia and new brunswick
1992,Dec,18,technology,hazardous chemicals,derailment release,0,0.0,,nan,0.0,oakville mb
1965,Jan,14,natural,geological,landslide,7,0.0,,nan,0.0,ocean falls bc
1991,Jul,22,technology,hazardous chemicals,marine release,1,0.0,,nan,0.0,off cape beale bc
1949,Aug,22,natural,geological,earthquake,0,0.0,,nan,8.0,off queen charlotte islands bc
1982,Feb,14,natural,meteorological - hydrological,storm,117,0.0,,nan,0.0,off the coast of newfoundland
1981,Jul,3,technology,transportation accident,marine,13,19.0,,nan,0.0,off the northern coast of newfoundland
1990,Jul,11,conflict,civil incident,disturbance / demonstrations,1,0.0,,nan,0.0,oka qc
1946,Jul,29,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,okanagan valley bc
1990,Jul,20,natural,meteorological - hydrological,fire,0,0.0,79258480000,6065700,0.0,old crow yt
1991,May,8,natural,meteorological - hydrological,flood,0,0.0,5466920000,396154,0.0,old crow yt
1963,Jan,1,natural,meteorological - hydrological,head event/drought,0,0.0,,nan,0.0,ontario
1973,Jan,1,natural,meteorological - hydrological,head event/drought,0,0.0,,nan,0.0,ontario
1983,Jul,14,natural,meteorological - hydrological,head event/drought,0,0.0,,nan,0.0,ontario
1988,Jul,5,natural,meteorological - hydrological,head event/drought,14,0.0,,nan,0.0,ontario and manitoba
2006,Oct,29,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,ontario and quebec
1964,Jan,1,natural,meteorological - hydrological,head event/drought,0,0.0,,nan,0.0,ontario and quebec
1992,Nov,12,natural,meteorological - hydrological,storm,0,0.0,760000000000,54285714,0.0,ontario and quebec
2003,Aug,14,technology,infrastructure failure,energy,SIN,SIN,,nan,0.0,"ontario, midwest and northeast usa"
1998,Jan,4,natural,meteorological - hydrological,storm,35,945.0,46357204330000,3046475641,0.0,"ontario, quebec and new brunswick"
1965,Jan,1,natural,meteorological - hydrological,head event/drought,0,0.0,,nan,0.0,"ontario, quebec and new brunswick"
1982,Feb,28,technology,hazardous chemicals,derailment release,0,0.0,,nan,0.0,orillia on
1916,Feb,3,technology,fire,residential,7,0.0,,nan,0.0,ottawa on
1989,Sep,12,technology,hazardous chemicals,vehicle,1,0.0,,nan,0.0,ottawa on
1996,Aug,8,natural,meteorological - hydrological,flood,0,0.0,213080000000,14381102,0.0,ottawa on
1966,Jan,1,technology,infrastructure failure,vehicle,9,57.0,,nan,0.0,ottawa on
1900,Apr,26,technology,fire,non-residential,7,0.0,,nan,0.0,ottawa on and hull qc
2009,Apr,25,natural,meteorological - hydrological,storm,0,0.0,409810000000,21493531,0.0,"ottawa, toronto and windsor on"
2003,Mar,31,natural,meteorological - hydrological,flood,2,3.0,254859480000,14875067,0.0,oxford and truro ns
2008,Apr,14,natural,meteorological - hydrological,flood,0,0.0,00000,00,0.0,paddockwood sk
2008,Jun,8,natural,meteorological - hydrological,flood,0,0.0,45075090000,2370294,0.0,pangnirtung nu
2000,Apr,13,natural,geological,landslide,0,0.0,00000,00,0.0,passmore bc
1992,Feb,28,natural,meteorological - hydrological,flood,0,0.0,28663710000,2047408,0.0,peace river ab
1997,Apr,19,natural,meteorological - hydrological,flood,0,0.0,473684940000,31439266,0.0,peace river ab
1979,Jan,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,peace river ab
